Employee_Number,Age,CF_age_band,Department,Education,Education_Field,Employee_Count,Gender,Job_Role,Marital_Status,Attrition,CF_attrition_label,Monthly_Income,Performance_Rating,Years_Since_Last_Promotion,Years_With_Curr_Manager,Environment_Satisfaction,Job_Involvement,Job_Satisfaction,Relationship_Satisfaction,Work_Life_Balance,Monthly_Rate,Total_Working_Years,Years_At_Company,Years_In_Current_Role
1,41,35 - 44,Sales,Associates Degree,Life Sciences,1,Female,Sales Executive,Single,1,Ex-Employees,5993,3,0,5,2,3,4,1,1,19479,8,6,4
2,49,45 - 54,R&D,High School,Life Sciences,1,Male,Research Scientist,Married,0,Current Employees,5130,4,1,7,3,2,2,4,3,24907,10,10,7
4,37,35 - 44,R&D,Associates Degree,Other,1,Male,Laboratory Technician,Single,1,Ex-Employees,2090,3,0,0,4,2,3,2,3,2396,7,0,0
5,33,25 - 34,R&D,Master's Degree,Life Sciences,1,Female,Research Scientist,Married,0,Current Employees,2909,3,3,0,4,3,3,3,3,23159,8,8,7
7,27,25 - 34,R&D,High School,Medical,1,Male,Laboratory Technician,Married,0,Current Employees,3468,3,2,2,1,3,2,4,3,16632,6,2,2
8,32,25 - 34,R&D,Associates Degree,Life Sciences,1,Male,Laboratory Technician,Single,0,Current Employees,3068,3,3,6,4,3,4,3,2,11864,8,7,7
10,59,Over 55,R&D,Bachelor's Degree,Medical,1,Female,Laboratory Technician,Married,0,Current Employees,2670,4,0,0,3,4,1,1,2,9964,12,1,0
11,30,25 - 34,R&D,High School,Life Sciences,1,Male,Laboratory Technician,Divorced,0,Current Employees,2693,4,0,0,4,3,3,2,3,13335,1,1,0
12,38,35 - 44,R&D,Bachelor's Degree,Life Sciences,1,Male,Manufacturing Director,Single,0,Current Employees,9526,4,1,8,4,2,3,2,3,8787,10,9,7
13,36,35 - 44,R&D,Bachelor's Degree,Medical,1,Male,Healthcare Representative,Married,0,Current Employees,5237,3,7,7,3,3,3,2,2,16577,17,7,7
14,35,35 - 44,R&D,Bachelor's Degree,Medical,1,Male,Laboratory Technician,Married,0,Current Employees,2426,3,0,3,1,4,2,3,3,16479,6,5,4
15,29,25 - 34,R&D,Associates Degree,Life Sciences,1,Female,Laboratory Technician,Single,0,Current Employees,4193,3,0,8,4,2,3,4,3,12682,10,9,5
16,31,25 - 34,R&D,High School,Life Sciences,1,Male,Research Scientist,Divorced,0,Current Employees,2911,3,4,3,1,3,3,4,2,15170,5,5,2
18,34,25 - 34,R&D,Associates Degree,Medical,1,Male,Laboratory Technician,Divorced,0,Current Employees,2661,3,1,2,2,3,4,3,3,8758,3,2,2
19,28,25 - 34,R&D,Bachelor's Degree,Life Sciences,1,Male,Laboratory Technician,Single,1,Ex-Employees,2028,3,0,3,3,2,3,2,3,12947,6,4,2
20,29,25 - 34,R&D,Master's Degree,Life Sciences,1,Female,Manufacturing Director,Divorced,0,Current Employees,9980,3,8,8,2,4,1,3,3,10195,10,10,9
21,32,25 - 34,R&D,Associates Degree,Life Sciences,1,Male,Research Scientist,Divorced,0,Current Employees,3298,3,0,5,1,4,2,4,2,15053,7,6,2
22,22,Under 25,R&D,Associates Degree,Medical,1,Male,Laboratory Technician,Divorced,0,Current Employees,2935,3,0,0,4,4,4,2,2,7324,1,1,0
23,53,45 - 54,Sales,Master's Degree,Life Sciences,1,Female,Manager,Married,0,Current Employees,15427,3,3,7,1,2,4,3,3,22021,31,25,8
24,38,35 - 44,R&D,Bachelor's Degree,Life Sciences,1,Male,Research Scientist,Single,0,Current Employees,3944,3,1,2,4,3,4,3,3,4306,6,3,2
26,24,Under 25,R&D,Associates Degree,Other,1,Female,Manufacturing Director,Divorced,0,Current Employees,4011,3,1,3,1,4,3,4,2,8232,5,4,2
27,36,35 - 44,Sales,Master's Degree,Life Sciences,1,Male,Sales Representative,Single,1,Ex-Employees,3407,4,0,3,3,2,1,2,3,6986,10,5,3
28,34,25 - 34,R&D,Master's Degree,Life Sciences,1,Female,Research Director,Single,0,Current Employees,11994,3,2,11,1,3,2,3,3,21293,13,12,6
30,21,Under 25,R&D,Associates Degree,Life Sciences,1,Male,Research Scientist,Single,0,Current Employees,1232,3,0,0,3,3,4,4,3,19281,0,0,0
31,34,25 - 34,R&D,High School,Medical,1,Male,Research Scientist,Single,1,Ex-Employees,2960,3,1,3,2,3,1,3,3,17102,8,4,2
32,53,45 - 54,R&D,Bachelor's Degree,Other,1,Female,Manager,Divorced,0,Current Employees,19094,3,4,8,3,3,3,4,2,10735,26,14,13
33,32,25 - 34,R&D,High School,Life Sciences,1,Female,Research Scientist,Single,1,Ex-Employees,3919,4,6,7,2,1,1,2,3,4681,10,10,2
35,42,35 - 44,Sales,Master's Degree,Marketing,1,Male,Sales Executive,Married,0,Current Employees,6825,3,4,2,3,3,2,4,3,21173,10,9,7
36,44,35 - 44,R&D,Master's Degree,Medical,1,Female,Healthcare Representative,Married,0,Current Employees,10248,3,5,17,1,2,4,4,3,2094,24,22,6
38,46,45 - 54,Sales,Master's Degree,Marketing,1,Female,Manager,Single,0,Current Employees,18947,3,2,1,2,3,1,4,2,22822,22,2,2
39,33,25 - 34,R&D,Bachelor's Degree,Medical,1,Male,Laboratory Technician,Single,0,Current Employees,2496,3,0,0,3,3,4,4,3,6670,7,1,1
40,44,35 - 44,R&D,Master's Degree,Other,1,Male,Healthcare Representative,Married,0,Current Employees,6465,3,1,3,4,3,4,4,4,19121,9,4,2
41,30,25 - 34,R&D,Associates Degree,Medical,1,Male,Laboratory Technician,Single,0,Current Employees,2206,3,1,8,4,2,3,1,3,16117,10,10,0
42,39,35 - 44,Sales,Bachelor's Degree,Technical Degree,1,Male,Sales Representative,Married,1,Ex-Employees,2086,3,0,0,4,3,4,3,4,3335,19,1,0
45,24,Under 25,R&D,Bachelor's Degree,Medical,1,Male,Research Scientist,Married,1,Ex-Employees,2293,3,2,0,2,3,4,1,2,3020,6,2,0
46,43,35 - 44,R&D,Associates Degree,Medical,1,Female,Research Scientist,Divorced,0,Current Employees,2645,3,1,4,4,4,3,4,2,21923,6,5,3
47,50,45 - 54,Sales,Associates Degree,Marketing,1,Male,Sales Representative,Married,1,Ex-Employees,2683,3,0,2,1,2,3,3,3,3810,3,3,2
49,35,35 - 44,Sales,Bachelor's Degree,Marketing,1,Female,Sales Representative,Married,0,Current Employees,2014,3,2,2,4,3,4,1,3,9687,2,2,2
51,36,35 - 44,R&D,Master's Degree,Life Sciences,1,Female,Research Scientist,Married,0,Current Employees,3419,3,0,0,2,2,1,4,4,13072,6,1,1
52,33,25 - 34,Sales,Bachelor's Degree,Life Sciences,1,Female,Sales Executive,Married,0,Current Employees,5376,3,1,3,3,4,1,1,3,3193,10,5,3
53,35,35 - 44,R&D,Associates Degree,Other,1,Male,Laboratory Technician,Divorced,0,Current Employees,1951,3,0,0,3,3,4,3,3,10910,1,1,0
54,27,25 - 34,R&D,Master's Degree,Life Sciences,1,Female,Laboratory Technician,Divorced,0,Current Employees,2341,3,0,0,4,3,1,4,3,19715,1,1,0
55,26,25 - 34,R&D,Bachelor's Degree,Life Sciences,1,Male,Laboratory Technician,Single,1,Ex-Employees,2293,3,0,1,1,1,3,3,2,10558,1,1,0
56,27,25 - 34,Sales,Bachelor's Degree,Life Sciences,1,Male,Sales Executive,Single,0,Current Employees,8726,3,1,7,4,3,3,4,3,2975,9,9,8
57,30,25 - 34,R&D,Associates Degree,Medical,1,Female,Laboratory Technician,Single,0,Current Employees,4011,4,3,7,3,3,4,4,3,10781,12,12,8
58,41,35 - 44,R&D,Bachelor's Degree,Technical Degree,1,Female,Research Director,Married,1,Ex-Employees,19545,3,15,8,2,3,3,4,3,16280,23,22,15
60,34,25 - 34,Sales,Master's Degree,Marketing,1,Male,Sales Executive,Single,0,Current Employees,4568,4,8,7,2,3,3,3,3,10034,10,9,5
61,37,35 - 44,R&D,Associates Degree,Life Sciences,1,Male,Research Scientist,Married,0,Current Employees,3022,4,0,0,2,3,2,1,3,10227,8,1,0
62,46,45 - 54,Sales,Master's Degree,Marketing,1,Male,Sales Executive,Single,0,Current Employees,5772,4,0,8,1,3,4,3,3,20445,14,9,6
63,35,35 - 44,R&D,High School,Life Sciences,1,Male,Laboratory Technician,Married,0,Current Employees,2269,3,0,1,4,4,4,4,3,4892,1,1,0
64,48,45 - 54,R&D,Associates Degree,Life Sciences,1,Male,Laboratory Technician,Single,1,Ex-Employees,5381,3,0,0,1,2,3,4,3,19294,23,1,0
65,28,25 - 34,R&D,Master's Degree,Technical Degree,1,Male,Laboratory Technician,Single,1,Ex-Employees,3441,3,2,2,3,3,3,3,2,11179,2,2,2
68,44,35 - 44,Sales,Doctoral Degree,Marketing,1,Female,Sales Executive,Divorced,0,Current Employees,5454,4,1,3,2,3,1,3,2,4009,9,4,3
70,35,35 - 44,R&D,Associates Degree,Medical,1,Male,Healthcare Representative,Married,0,Current Employees,9884,3,2,3,3,2,1,3,3,8302,10,4,0
72,26,25 - 34,Sales,Bachelor's Degree,Marketing,1,Female,Sales Executive,Married,0,Current Employees,4157,3,0,0,3,2,4,3,2,21436,5,2,2
73,33,25 - 34,R&D,Associates Degree,Life Sciences,1,Female,Research Director,Single,0,Current Employees,13458,3,8,12,1,3,4,3,3,15146,15,15,14
74,35,35 - 44,Sales,Doctoral Degree,Life Sciences,1,Male,Sales Executive,Married,0,Current Employees,9069,4,1,8,2,3,1,4,2,11031,9,9,8
75,35,35 - 44,R&D,Master's Degree,Medical,1,Female,Laboratory Technician,Married,0,Current Employees,4014,3,2,2,3,3,1,3,3,16002,4,2,2
76,31,25 - 34,R&D,Master's Degree,Life Sciences,1,Male,Laboratory Technician,Divorced,0,Current Employees,5915,4,1,7,4,3,4,4,2,9528,10,7,7
77,37,35 - 44,R&D,Master's Degree,Life Sciences,1,Male,Manufacturing Director,Divorced,0,Current Employees,5993,3,0,7,1,2,3,3,4,2689,7,7,5
78,32,25 - 34,R&D,Bachelor's Degree,Medical,1,Male,Manufacturing Director,Married,0,Current Employees,6162,4,7,8,1,3,4,2,3,10877,9,9,8
79,38,35 - 44,R&D,Doctoral Degree,Life Sciences,1,Female,Laboratory Technician,Single,0,Current Employees,2406,3,9,9,4,3,4,4,3,5456,10,10,3
80,50,45 - 54,R&D,Associates Degree,Medical,1,Female,Research Director,Divorced,0,Current Employees,18740,3,13,8,2,2,3,4,2,16701,29,27,3
81,59,Over 55,Sales,Bachelor's Degree,Life Sciences,1,Female,Sales Executive,Single,0,Current Employees,7637,3,7,9,1,3,1,4,2,2354,28,21,16
83,36,35 - 44,R&D,Bachelor's Degree,Technical Degree,1,Female,Healthcare Representative,Divorced,0,Current Employees,10096,3,12,8,3,3,3,2,3,8202,17,17,14
84,55,Over 55,R&D,Bachelor's Degree,Medical,1,Female,Manager,Divorced,0,Current Employees,14756,3,0,2,4,3,3,3,3,19730,21,5,0
85,36,35 - 44,R&D,Bachelor's Degree,Life Sciences,1,Male,Manufacturing Director,Single,0,Current Employees,6499,3,0,3,2,2,2,3,3,22656,6,6,5
86,45,45 - 54,R&D,Bachelor's Degree,Life Sciences,1,Male,Research Scientist,Divorced,0,Current Employees,9724,3,0,0,2,3,1,3,3,18787,25,1,0
88,35,35 - 44,R&D,Bachelor's Degree,Medical,1,Male,Research Scientist,Married,0,Current Employees,2194,3,1,2,2,3,1,4,2,5868,5,3,2
90,36,35 - 44,R&D,Bachelor's Degree,Medical,1,Male,Research Scientist,Married,1,Ex-Employees,3388,3,0,0,4,2,3,1,2,21777,2,1,0
91,59,Over 55,Sales,High School,Life Sciences,1,Female,Sales Executive,Single,0,Current Employees,5473,3,1,3,1,2,3,4,2,24668,20,4,3
94,29,25 - 34,R&D,Bachelor's Degree,Life Sciences,1,Male,Research Scientist,Married,0,Current Employees,2703,4,0,4,3,3,2,4,3,4956,6,5,4
95,31,25 - 34,R&D,Master's Degree,Medical,1,Male,Research Scientist,Single,0,Current Employees,2501,3,1,0,3,3,2,2,3,18775,1,1,1
96,32,25 - 34,R&D,Bachelor's Degree,Life Sciences,1,Male,Research Scientist,Married,0,Current Employees,6220,3,0,9,2,3,2,2,3,7346,10,10,4
97,36,35 - 44,R&D,Bachelor's Degree,Life Sciences,1,Female,Laboratory Technician,Married,0,Current Employees,3038,3,0,0,2,4,4,2,3,22002,5,1,0
98,31,25 - 34,R&D,Master's Degree,Life Sciences,1,Female,Manufacturing Director,Single,0,Current Employees,4424,4,1,8,3,3,4,4,3,20682,11,11,7
100,35,35 - 44,Sales,Master's Degree,Marketing,1,Male,Sales Executive,Single,0,Current Employees,4312,3,2,8,3,2,1,2,3,23016,16,15,13
101,45,45 - 54,R&D,Master's Degree,Other,1,Male,Research Director,Married,0,Current Employees,13245,3,0,0,4,3,1,2,4,15067,17,0,0
102,37,35 - 44,R&D,Master's Degree,Medical,1,Male,Research Director,Single,0,Current Employees,13664,3,0,2,1,3,3,1,4,25258,16,5,2
103,46,45 - 54,HR,Associates Degree,Medical,1,Male,Human Resources,Divorced,0,Current Employees,5021,4,0,2,2,3,2,4,3,10425,16,4,2
104,30,25 - 34,R&D,High School,Life Sciences,1,Male,Laboratory Technician,Married,0,Current Employees,5126,3,3,0,4,2,4,3,2,15998,10,10,8
105,35,35 - 44,R&D,Bachelor's Degree,Medical,1,Male,Research Scientist,Single,0,Current Employees,2859,3,0,4,2,2,3,1,3,26278,6,6,4
106,55,Over 55,Sales,Associates Degree,Life Sciences,1,Male,Sales Executive,Married,0,Current Employees,10239,3,1,0,1,3,4,4,3,18092,24,1,0
107,38,35 - 44,R&D,Bachelor's Degree,Medical,1,Female,Research Scientist,Divorced,0,Current Employees,5329,3,1,9,2,1,4,4,3,15717,17,13,11
110,34,25 - 34,R&D,Associates Degree,Medical,1,Male,Manufacturing Director,Married,0,Current Employees,4325,3,1,3,1,3,2,3,3,17736,5,5,2
112,56,Over 55,R&D,Bachelor's Degree,Life Sciences,1,Male,Manufacturing Director,Single,0,Current Employees,7260,3,0,2,4,1,4,1,2,21698,37,6,4
113,23,Under 25,Sales,High School,Technical Degree,1,Male,Sales Representative,Divorced,0,Current Employees,2322,3,0,0,3,3,1,3,3,9518,3,0,0
116,51,45 - 54,R&D,Master's Degree,Life Sciences,1,Male,Laboratory Technician,Married,0,Current Employees,2075,4,0,3,4,3,4,2,3,18725,10,4,2
117,30,25 - 34,R&D,Bachelor's Degree,Life Sciences,1,Male,Healthcare Representative,Married,0,Current Employees,4152,3,10,8,3,2,4,1,3,15830,11,11,10
118,46,45 - 54,Sales,Associates Degree,Medical,1,Male,Sales Executive,Single,1,Ex-Employees,9619,3,4,7,3,2,4,4,3,13596,9,9,8
119,40,35 - 44,R&D,Master's Degree,Life Sciences,1,Male,Healthcare Representative,Married,0,Current Employees,13503,4,11,11,3,2,2,4,2,14115,22,22,3
120,51,45 - 54,Sales,Master's Degree,Marketing,1,Male,Sales Executive,Single,0,Current Employees,5441,4,1,0,3,3,4,4,1,8423,11,10,7
121,30,25 - 34,Sales,Associates Degree,Medical,1,Female,Sales Executive,Divorced,0,Current Employees,5209,3,2,7,3,2,2,2,2,19760,11,11,8
124,46,45 - 54,R&D,Bachelor's Degree,Medical,1,Male,Healthcare Representative,Married,0,Current Employees,10673,3,9,5,3,2,1,3,2,3142,21,10,9
125,32,25 - 34,Sales,Master's Degree,Medical,1,Male,Sales Executive,Single,0,Current Employees,5010,3,5,7,2,3,3,1,3,24301,12,11,8
126,54,45 - 54,R&D,Master's Degree,Technical Degree,1,Female,Research Director,Married,0,Current Employees,13549,3,0,3,1,3,3,1,1,24001,16,4,3
128,24,Under 25,Sales,Associates Degree,Other,1,Female,Sales Executive,Married,0,Current Employees,4999,4,0,2,1,3,3,1,2,17519,4,3,2
129,28,25 - 34,Sales,Bachelor's Degree,Medical,1,Male,Sales Executive,Married,0,Current Employees,4221,3,0,4,2,3,3,2,4,8863,5,5,4
131,58,Over 55,Sales,Master's Degree,Medical,1,Male,Sales Executive,Single,0,Current Employees,13872,3,1,8,4,3,3,3,2,24409,38,37,10
132,44,35 - 44,R&D,Bachelor's Degree,Medical,1,Male,Laboratory Technician,Married,0,Current Employees,2042,3,1,2,2,3,2,3,4,25043,17,3,2
