Attrition,CF_attrition label,Employee Number,Gender,Job Role,Marital Status,Monthly Income,Performance Rating,Years Since Last Promotion,Years With Curr Manager
Yes,Ex-Employees,1,Female,Sales Executive,Single,5993,3,0,5
No,Current Employees,2,Male,Research Scientist,Married,5130,4,1,7
Yes,Ex-Employees,4,Male,Laboratory Technician,Single,2090,3,0,0
No,Current Employees,5,Female,Research Scientist,Married,2909,3,3,0
No,Current Employees,7,Male,Laboratory Technician,Married,3468,3,2,2
No,Current Employees,8,Male,Laboratory Technician,Single,3068,3,3,6
No,Current Employees,10,Female,Laboratory Technician,Married,2670,4,0,0
No,Current Employees,11,Male,Laboratory Technician,Divorced,2693,4,0,0
No,Current Employees,12,Male,Manufacturing Director,Single,9526,4,1,8
No,Current Employees,13,Male,Healthcare Representative,Married,5237,3,7,7
No,Current Employees,14,Male,Laboratory Technician,Married,2426,3,0,3
No,Current Employees,15,Female,Laboratory Technician,Single,4193,3,0,8
No,Current Employees,16,Male,Research Scientist,Divorced,2911,3,4,3
No,Current Employees,18,Male,Laboratory Technician,Divorced,2661,3,1,2
Yes,Ex-Employees,19,Male,Laboratory Technician,Single,2028,3,0,3
No,Current Employees,20,Female,Manufacturing Director,Divorced,9980,3,8,8
No,Current Employees,21,Male,Research Scientist,Divorced,3298,3,0,5
No,Current Employees,22,Male,Laboratory Technician,Divorced,2935,3,0,0
No,Current Employees,23,Female,Manager,Married,15427,3,3,7
No,Current Employees,24,Male,Research Scientist,Single,3944,3,1,2
No,Current Employees,26,Female,Manufacturing Director,Divorced,4011,3,1,3
Yes,Ex-Employees,27,Male,Sales Representative,Single,3407,4,0,3
No,Current Employees,28,Female,Research Director,Single,11994,3,2,11
No,Current Employees,30,Male,Research Scientist,Single,1232,3,0,0
Yes,Ex-Employees,31,Male,Research Scientist,Single,2960,3,1,3
No,Current Employees,32,Female,Manager,Divorced,19094,3,4,8
Yes,Ex-Employees,33,Female,Research Scientist,Single,3919,4,6,7
No,Current Employees,35,Male,Sales Executive,Married,6825,3,4,2
No,Current Employees,36,Female,Healthcare Representative,Married,10248,3,5,17
No,Current Employees,38,Female,Manager,Single,18947,3,2,1
No,Current Employees,39,Male,Laboratory Technician,Single,2496,3,0,0
No,Current Employees,40,Male,Healthcare Representative,Married,6465,3,1,3
No,Current Employees,41,Male,Laboratory Technician,Single,2206,3,1,8
Yes,Ex-Employees,42,Male,Sales Representative,Married,2086,3,0,0
Yes,Ex-Employees,45,Male,Research Scientist,Married,2293,3,2,0
No,Current Employees,46,Female,Research Scientist,Divorced,2645,3,1,4
Yes,Ex-Employees,47,Male,Sales Representative,Married,2683,3,0,2
No,Current Employees,49,Female,Sales Representative,Married,2014,3,2,2
No,Current Employees,51,Female,Research Scientist,Married,3419,3,0,0
No,Current Employees,52,Female,Sales Executive,Married,5376,3,1,3
No,Current Employees,53,Male,Laboratory Technician,Divorced,1951,3,0,0
No,Current Employees,54,Female,Laboratory Technician,Divorced,2341,3,0,0
Yes,Ex-Employees,55,Male,Laboratory Technician,Single,2293,3,0,1
No,Current Employees,56,Male,Sales Executive,Single,8726,3,1,7
No,Current Employees,57,Female,Laboratory Technician,Single,4011,4,3,7
Yes,Ex-Employees,58,Female,Research Director,Married,19545,3,15,8
No,Current Employees,60,Male,Sales Executive,Single,4568,4,8,7
No,Current Employees,61,Male,Research Scientist,Married,3022,4,0,0
No,Current Employees,62,Male,Sales Executive,Single,5772,4,0,8
No,Current Employees,63,Male,Laboratory Technician,Married,2269,3,0,1
Yes,Ex-Employees,64,Male,Laboratory Technician,Single,5381,3,0,0
Yes,Ex-Employees,65,Male,Laboratory Technician,Single,3441,3,2,2
No,Current Employees,68,Female,Sales Executive,Divorced,5454,4,1,3
No,Current Employees,70,Male,Healthcare Representative,Married,9884,3,2,3
No,Current Employees,72,Female,Sales Executive,Married,4157,3,0,0
No,Current Employees,73,Female,Research Director,Single,13458,3,8,12
No,Current Employees,74,Male,Sales Executive,Married,9069,4,1,8
No,Current Employees,75,Female,Laboratory Technician,Married,4014,3,2,2
No,Current Employees,76,Male,Laboratory Technician,Divorced,5915,4,1,7
No,Current Employees,77,Male,Manufacturing Director,Divorced,5993,3,0,7
No,Current Employees,78,Male,Manufacturing Director,Married,6162,4,7,8
No,Current Employees,79,Female,Laboratory Technician,Single,2406,3,9,9
No,Current Employees,80,Female,Research Director,Divorced,18740,3,13,8
No,Current Employees,81,Female,Sales Executive,Single,7637,3,7,9
No,Current Employees,83,Female,Healthcare Representative,Divorced,10096,3,12,8
No,Current Employees,84,Female,Manager,Divorced,14756,3,0,2
No,Current Employees,85,Male,Manufacturing Director,Single,6499,3,0,3
No,Current Employees,86,Male,Research Scientist,Divorced,9724,3,0,0
No,Current Employees,88,Male,Research Scientist,Married,2194,3,1,2
Yes,Ex-Employees,90,Male,Research Scientist,Married,3388,3,0,0
No,Current Employees,91,Female,Sales Executive,Single,5473,3,1,3
No,Current Employees,94,Male,Research Scientist,Married,2703,4,0,4
No,Current Employees,95,Male,Research Scientist,Single,2501,3,1,0
No,Current Employees,96,Male,Research Scientist,Married,6220,3,0,9
No,Current Employees,97,Female,Laboratory Technician,Married,3038,3,0,0
No,Current Employees,98,Female,Manufacturing Director,Single,4424,4,1,8
No,Current Employees,100,Male,Sales Executive,Single,4312,3,2,8
No,Current Employees,101,Male,Research Director,Married,13245,3,0,0
No,Current Employees,102,Male,Research Director,Single,13664,3,0,2
No,Current Employees,103,Male,Human Resources,Divorced,5021,4,0,2
No,Current Employees,104,Male,Laboratory Technician,Married,5126,3,3,0
No,Current Employees,105,Male,Research Scientist,Single,2859,3,0,4
No,Current Employees,106,Male,Sales Executive,Married,10239,3,1,0
No,Current Employees,107,Female,Research Scientist,Divorced,5329,3,1,9
No,Current Employees,110,Male,Manufacturing Director,Married,4325,3,1,3
No,Current Employees,112,Male,Manufacturing Director,Single,7260,3,0,2
No,Current Employees,113,Male,Sales Representative,Divorced,2322,3,0,0
No,Current Employees,116,Male,Laboratory Technician,Married,2075,4,0,3
No,Current Employees,117,Male,Healthcare Representative,Married,4152,3,10,8
Yes,Ex-Employees,118,Male,Sales Executive,Single,9619,3,4,7
No,Current Employees,119,Male,Healthcare Representative,Married,13503,4,11,11
No,Current Employees,120,Male,Sales Executive,Single,5441,4,1,0
No,Current Employees,121,Female,Sales Executive,Divorced,5209,3,2,7
No,Current Employees,124,Male,Healthcare Representative,Married,10673,3,9,5
No,Current Employees,125,Male,Sales Executive,Single,5010,3,5,7
No,Current Employees,126,Female,Research Director,Married,13549,3,0,3
No,Current Employees,128,Female,Sales Executive,Married,4999,4,0,2
No,Current Employees,129,Male,Sales Executive,Married,4221,3,0,4
No,Current Employees,131,Male,Sales Executive,Single,13872,3,1,8
No,Current Employees,132,Male,Laboratory Technician,Married,2042,3,1,2
Yes,Ex-Employees,133,Male,Human Resources,Divorced,2073,4,0,2
No,Current Employees,134,Male,Research Scientist,Single,2956,3,0,0
Yes,Ex-Employees,137,Female,Laboratory Technician,Single,2926,3,1,0
No,Current Employees,138,Female,Research Scientist,Single,4809,3,2,10
No,Current Employees,139,Male,Healthcare Representative,Divorced,5163,3,0,0
No,Current Employees,140,Female,Manager,Married,18844,4,2,2
No,Current Employees,141,Female,Research Director,Married,18172,3,0,7
Yes,Ex-Employees,142,Male,Sales Executive,Single,5744,3,0,3
No,Current Employees,143,Male,Research Scientist,Married,2889,3,2,1
No,Current Employees,144,Female,Laboratory Technician,Single,2871,3,0,0
No,Current Employees,145,Female,Healthcare Representative,Single,7484,4,12,8
Yes,Ex-Employees,147,Male,Laboratory Technician,Single,6074,4,0,6
No,Current Employees,148,Female,Manager,Single,17328,3,4,4
No,Current Employees,150,Male,Laboratory Technician,Married,2774,3,1,2
No,Current Employees,151,Female,Research Scientist,Divorced,4505,3,0,0
