CF_age band,Department,Education Field,Employee Number,Gender,Job Role,Marital Status,Age,Education,Employee Count
35 - 44,Sales,Life Sciences,1,Female,Sales Executive,Single,41,Associates Degree,1
45 - 54,R&D,Life Sciences,2,Male,Research Scientist,Married,49,High School,1
35 - 44,R&D,Other,4,Male,Laboratory Technician,Single,37,Associates Degree,1
25 - 34,R&D,Life Sciences,5,Female,Research Scientist,Married,33,Master's Degree,1
25 - 34,R&D,Medical,7,Male,Laboratory Technician,Married,27,High School,1
25 - 34,R&D,Life Sciences,8,Male,Laboratory Technician,Single,32,Associates Degree,1
Over 55,R&D,Medical,10,Female,Laboratory Technician,Married,59,Bachelor's Degree,1
25 - 34,R&D,Life Sciences,11,Male,Laboratory Technician,Divorced,30,High School,1
35 - 44,R&D,Life Sciences,12,Male,Manufacturing Director,Single,38,Bachelor's Degree,1
35 - 44,R&D,Medical,13,Male,Healthcare Representative,Married,36,Bachelor's Degree,1
35 - 44,R&D,Medical,14,Male,Laboratory Technician,Married,35,Bachelor's Degree,1
25 - 34,R&D,Life Sciences,15,Female,Laboratory Technician,Single,29,Associates Degree,1
25 - 34,R&D,Life Sciences,16,Male,Research Scientist,Divorced,31,High School,1
25 - 34,R&D,Medical,18,Male,Laboratory Technician,Divorced,34,Associates Degree,1
25 - 34,R&D,Life Sciences,19,Male,Laboratory Technician,Single,28,Bachelor's Degree,1
25 - 34,R&D,Life Sciences,20,Female,Manufacturing Director,Divorced,29,Master's Degree,1
25 - 34,R&D,Life Sciences,21,Male,Research Scientist,Divorced,32,Associates Degree,1
Under 25,R&D,Medical,22,Male,Laboratory Technician,Divorced,22,Associates Degree,1
45 - 54,Sales,Life Sciences,23,Female,Manager,Married,53,Master's Degree,1
35 - 44,R&D,Life Sciences,24,Male,Research Scientist,Single,38,Bachelor's Degree,1
Under 25,R&D,Other,26,Female,Manufacturing Director,Divorced,24,Associates Degree,1
35 - 44,Sales,Life Sciences,27,Male,Sales Representative,Single,36,Master's Degree,1
25 - 34,R&D,Life Sciences,28,Female,Research Director,Single,34,Master's Degree,1
Under 25,R&D,Life Sciences,30,Male,Research Scientist,Single,21,Associates Degree,1
25 - 34,R&D,Medical,31,Male,Research Scientist,Single,34,High School,1
45 - 54,R&D,Other,32,Female,Manager,Divorced,53,Bachelor's Degree,1
25 - 34,R&D,Life Sciences,33,Female,Research Scientist,Single,32,High School,1
35 - 44,Sales,Marketing,35,Male,Sales Executive,Married,42,Master's Degree,1
35 - 44,R&D,Medical,36,Female,Healthcare Representative,Married,44,Master's Degree,1
45 - 54,Sales,Marketing,38,Female,Manager,Single,46,Master's Degree,1
25 - 34,R&D,Medical,39,Male,Laboratory Technician,Single,33,Bachelor's Degree,1
35 - 44,R&D,Other,40,Male,Healthcare Representative,Married,44,Master's Degree,1
25 - 34,R&D,Medical,41,Male,Laboratory Technician,Single,30,Associates Degree,1
35 - 44,Sales,Technical Degree,42,Male,Sales Representative,Married,39,Bachelor's Degree,1
Under 25,R&D,Medical,45,Male,Research Scientist,Married,24,Bachelor's Degree,1
35 - 44,R&D,Medical,46,Female,Research Scientist,Divorced,43,Associates Degree,1
45 - 54,Sales,Marketing,47,Male,Sales Representative,Married,50,Associates Degree,1
35 - 44,Sales,Marketing,49,Female,Sales Representative,Married,35,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,51,Female,Research Scientist,Married,36,Master's Degree,1
25 - 34,Sales,Life Sciences,52,Female,Sales Executive,Married,33,Bachelor's Degree,1
